日期,收盘,开盘,高,低,交易量,涨跌幅
2022年3月11日,12.11,11.67,12.14,11.56,51.54M,1.68%
2022年3月10日,11.91,12.01,12.13,11.86,53.99M,1.62%
2022年3月9日,11.72,12,12.07,11.04,77.88M,-2.33%
2022年3月8日,12,12.27,12.46,11.78,63.45M,-2.99%
2022年3月7日,12.37,13,13.08,12.22,94.87M,-6.22%
2022年3月4日,13.19,13.39,13.54,13.07,53.29M,-2.37%
2022年3月3日,13.51,13.98,14,13.45,67.16M,-2.67%
2022年3月2日,13.88,13.97,13.99,13.73,49.47M,-1.07%
2022年3月1日,14.03,13.71,14.5,13.67,103.45M,1.96%
2022年2月28日,13.76,13.7,13.84,13.26,98.70M,-1.71%
2022年2月25日,14,14.05,14.29,13.93,69.42M,0.57%
2022年2月24日,13.92,14.24,14.55,13.67,109.68M,-2.59%
2022年2月23日,14.29,13.6,14.32,13.6,123.24M,4.00%
2022年2月22日,13.74,13.75,13.9,13.53,55.74M,-1.22%
2022年2月21日,13.91,13.97,14.15,13.76,64.93M,-0.36%
2022年2月18日,13.96,13.95,14,13.65,94.58M,-0.92%
2022年2月17日,14.09,13.54,14.23,13.51,148.41M,4.53%
2022年2月16日,13.48,13.5,13.6,13.35,41.95M,0.15%
2022年2月15日,13.46,13.3,13.6,13.12,52.10M,2.05%
2022年2月14日,13.19,13,13.39,12.91,39.93M,0.38%
2022年2月11日,13.14,13.35,13.65,13.05,61.50M,-2.30%
2022年2月10日,13.45,13.5,13.58,13.31,43.24M,-0.81%
2022年2月9日,13.56,13.41,13.75,13.35,54.96M,0.52%
2022年2月8日,13.49,13.41,13.52,12.95,54.02M,1.35%
2022年2月7日,13.31,13.05,13.69,13.05,72.08M,3.90%
2022年1月28日,12.81,12.99,13.1,12.64,44.18M,-0.31%
2022年1月27日,12.85,13.29,13.35,12.74,63.84M,-3.75%
2022年1月26日,13.35,13.61,13.8,13.12,55.71M,-1.84%
2022年1月25日,13.6,14.28,14.44,13.58,68.88M,-5.23%
2022年1月24日,14.35,14,14.45,13.89,55.88M,1.99%
2022年1月21日,14.07,13.9,14.14,13.72,43.64M,0.50%
2022年1月20日,14,14.21,14.34,13.93,55.39M,-2.44%
2022年1月19日,14.35,14.6,14.64,14.16,77.90M,-2.78%
2022年1月18日,14.76,14.57,14.91,14.41,94.61M,1.58%
2022年1月17日,14.53,14.45,14.78,14.4,82.80M,0.69%
2022年1月14日,14.43,13.78,15,13.73,138.00M,3.59%
2022年1月13日,13.93,14.44,14.49,13.9,101.14M,-4.20%
2022年1月12日,14.54,14.15,14.66,14.11,117.60M,3.64%
2022年1月11日,14.03,13.85,14.4,13.83,96.05M,0.00%
2022年1月10日,14.03,13.9,14.05,13.45,87.53M,0.79%
2022年1月7日,13.92,14.14,14.2,13.87,63.78M,-1.69%
2022年1月6日,14.16,13.75,14.33,13.61,82.39M,2.61%
2022年1月5日,13.8,14,14.06,13.65,65.01M,-1.43%
2022年1月4日,14,14.64,14.64,13.75,103.58M,-2.98%
2021年12月31日,14.43,14.1,14.58,14.08,69.65M,1.76%
2021年12月30日,14.18,14.25,14.54,14.12,68.37M,-0.63%
2021年12月29日,14.27,14.25,14.42,14.05,68.11M,0.14%
2021年12月28日,14.25,13.98,14.25,13.91,82.11M,2.52%
2021年12月27日,13.9,14.12,14.2,13.81,62.76M,-1.35%
2021年12月24日,14.09,14.87,14.92,13.8,125.37M,-5.25%
2021年12月23日,14.87,15.17,15.21,14.76,56.94M,-1.52%
2021年12月22日,15.1,15.04,15.27,14.92,50.00M,0.47%
2021年12月21日,15.03,14.83,15.07,14.68,67.92M,0.47%
2021年12月20日,14.96,15.56,15.61,14.91,95.37M,-4.83%
2021年12月17日,15.72,16.27,16.33,15.7,82.51M,-3.97%
2021年12月16日,16.37,16.34,16.39,16.14,50.06M,0.18%
2021年12月15日,16.34,16.54,16.69,16.28,54.40M,-1.21%
2021年12月14日,16.54,16.86,16.96,16.48,72.28M,-2.65%
2021年12月13日,16.99,17.15,17.2,16.71,71.06M,-0.41%
2021年12月10日,17.06,16.51,17.16,16.47,95.85M,2.34%
2021年12月9日,16.67,16.6,16.73,16.42,68.84M,0.48%
2021年12月8日,16.59,16.26,16.6,16.2,69.93M,1.97%
2021年12月7日,16.27,16.9,16.92,16.02,99.15M,-2.81%
2021年12月6日,16.74,17.26,17.26,16.56,100.12M,-3.35%
2021年12月3日,17.32,17.13,17.5,17.13,70.91M,1.11%
