"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年3月11日","12.08","11.68","12.13","11.56","31.23M","0.92%"
"2022年3月10日","11.97","12.06","12.27","11.90","37.19M","1.87%"
"2022年3月9日","11.75","11.91","12.06","10.99","53.11M","-1.43%"
"2022年3月8日","11.92","12.51","12.69","11.64","51.99M","-5.17%"
"2022年3月7日","12.57","13.00","13.00","12.45","39.15M","-3.46%"
"2022年3月4日","13.02","13.32","13.44","12.96","52.45M","-4.34%"
"2022年3月3日","13.61","14.01","14.08","13.51","37.73M","-2.65%"
"2022年3月2日","13.98","13.75","14.03","13.66","31.20M","0.50%"
"2022年3月1日","13.91","14.00","14.25","13.82","44.48M","1.31%"
"2022年2月28日","13.73","13.80","13.93","13.52","37.33M","-0.94%"
"2022年2月25日","13.86","13.95","14.28","13.78","49.57M","0.65%"
"2022年2月24日","13.77","14.06","14.39","13.50","83.82M","-4.24%"
"2022年2月23日","14.38","13.38","14.68","13.37","95.62M","7.15%"
"2022年2月22日","13.42","13.69","13.69","13.22","33.22M","-1.90%"
"2022年2月21日","13.68","13.83","13.90","13.60","24.93M","-0.94%"
"2022年2月18日","13.81","13.56","13.85","13.51","26.45M","0.95%"
"2022年2月17日","13.68","13.60","13.95","13.53","39.81M","0.07%"
"2022年2月16日","13.67","13.20","14.12","13.20","55.77M","3.80%"
"2022年2月15日","13.17","12.85","13.40","12.85","35.96M","2.49%"
"2022年2月14日","12.85","13.03","13.20","12.71","36.86M","-3.02%"
"2022年2月11日","13.25","13.65","13.70","13.08","41.25M","-3.85%"
"2022年2月10日","13.78","13.96","13.99","13.67","32.88M","-1.29%"
"2022年2月9日","13.96","13.81","14.25","13.66","54.20M","1.53%"
"2022年2月8日","13.75","13.61","13.92","13.40","36.17M","1.18%"
"2022年2月7日","13.59","13.88","14.15","13.53","36.91M","1.34%"
"2022年1月28日","13.41","13.35","13.62","12.75","41.49M","0.37%"
"2022年1月27日","13.36","13.84","14.00","13.32","42.35M","-3.47%"
"2022年1月26日","13.84","13.70","13.90","13.35","41.93M","0.95%"
"2022年1月25日","13.71","13.95","14.33","13.70","38.97M","-1.08%"
"2022年1月24日","13.86","13.60","14.02","13.60","25.52M","-0.14%"
"2022年1月21日","13.88","13.89","13.98","13.60","29.53M","0.58%"
"2022年1月20日","13.80","14.17","14.26","13.65","46.43M","-2.75%"
"2022年1月19日","14.19","14.61","14.71","14.10","52.47M","-3.27%"
"2022年1月18日","14.67","14.86","14.86","14.56","29.01M","-1.21%"
"2022年1月17日","14.85","14.65","15.10","14.36","41.22M","0.61%"
"2022年1月14日","14.76","14.82","14.97","14.44","35.66M","-0.34%"
"2022年1月13日","14.81","15.30","15.32","14.76","39.56M","-2.95%"
"2022年1月12日","15.26","14.89","15.49","14.88","46.38M","4.02%"
"2022年1月11日","14.67","15.10","15.12","14.56","46.15M","-2.46%"
"2022年1月10日","15.04","15.07","15.35","14.91","44.69M","-2.27%"
"2022年1月7日","15.39","15.73","16.24","15.28","56.21M","-1.66%"
"2022年1月6日","15.65","15.35","15.81","15.24","46.79M","0.45%"
"2022年1月5日","15.58","16.80","16.80","15.48","91.32M","-7.26%"
"2022年1月4日","16.80","17.42","17.65","16.74","69.00M","-3.45%"
"2021年12月31日","17.40","17.90","17.96","17.06","76.25M","-1.64%"
"2021年12月30日","17.69","17.72","17.98","17.50","51.45M","-0.79%"
"2021年12月29日","17.83","18.42","18.73","17.80","82.36M","-3.62%"
"2021年12月28日","18.50","17.55","18.64","17.15","99.93M","5.90%"
"2021年12月27日","17.47","17.80","18.31","17.30","75.12M","-1.69%"
"2021年12月24日","17.77","18.59","18.60","17.66","121.65M","-4.41%"
"2021年12月23日","18.59","17.03","18.59","17.03","166.37M","10.00%"
"2021年12月22日","16.90","16.75","16.92","16.43","62.27M","1.38%"
"2021年12月21日","16.67","16.63","16.73","16.41","56.01M","0.60%"
"2021年12月20日","16.57","16.90","17.25","16.50","68.29M","-2.82%"
"2021年12月17日","17.05","17.66","17.74","17.01","77.35M","-4.16%"
"2021年12月16日","17.79","18.00","18.22","17.58","70.60M","-2.36%"
"2021年12月15日","18.22","17.98","18.60","17.24","172.36M","1.79%"
"2021年12月14日","17.90","19.87","19.91","17.89","224.25M","-9.96%"
"2021年12月13日","19.88","20.68","20.90","19.88","90.35M","-1.83%"
"2021年12月10日","20.25","19.45","20.65","19.33","97.13M","1.86%"
"2021年12月9日","19.88","20.39","20.98","19.70","113.96M","-2.45%"
"2021年12月8日","20.38","20.00","20.64","19.31","125.05M","2.31%"
"2021年12月7日","19.92","19.30","20.68","19.27","161.50M","5.40%"
"2021年12月6日","18.90","19.15","19.89","18.70","114.66M","-1.15%"
"2021年12月3日","19.12","18.28","19.96","18.08","149.44M","3.91%"
"2021年12月2日","18.40","17.10","18.80","17.10","187.75M","6.98%"
"2021年12月1日","17.20","17.10","17.54","16.67","95.07M","1.71%"
"2021年11月30日","16.91","17.45","17.55","16.81","75.74M","-1.91%"
"2021年11月29日","17.24","16.55","17.78","16.51","109.99M","1.89%"
"2021年11月26日","16.92","16.43","17.31","16.43","87.87M","1.68%"
"2021年11月25日","16.64","17.00","17.05","16.35","94.20M","-3.26%"
"2021年11月24日","17.20","17.46","17.70","16.96","91.85M","-2.16%"
"2021年11月23日","17.58","17.06","18.16","16.70","164.10M","3.84%"
"2021年11月22日","16.93","16.82","17.75","16.58","233.44M","2.86%"
"2021年11月19日","16.46","14.94","16.46","14.48","222.59M","10.03%"
"2021年11月18日","14.96","14.81","15.14","14.62","55.53M","0.61%"
"2021年11月17日","14.87","14.56","15.32","14.40","78.42M","3.77%"
"2021年11月16日","14.33","14.51","14.89","14.22","65.29M","-3.31%"
"2021年11月15日","14.82","15.71","16.01","14.40","135.71M","-6.85%"
"2021年11月12日","15.91","15.98","16.40","15.50","83.84M","0.70%"
"2021年11月11日","15.80","15.70","15.98","15.51","55.33M","0.32%"
"2021年11月10日","15.75","15.98","16.17","15.55","62.02M","-2.90%"
"2021年11月9日","16.22","16.10","16.44","15.90","64.79M","0.31%"
